term,statistic,cold,hot_ANs,hot_PNs,SigmaANs,unit,gate_ppb,x_gate,status,source,note
triple_joint_TOTAL,robustSD,0.1987,0.0745,0.0615,0.0991,ppb,0.083,1.19,VERIFIED,diagnostics/i0_interp_2026-09/sigma_ans_triple.csv,"HEADLINE. I0 + R(t) + etalon-f perturbed simultaneously, propagated per scan, robust scale taken last. No quadrature anywhere. SigmaANs propagated at SigmaANs level (not channel quadrature). LOO basis => upper bound; see split_half rows."
component_i0,robustSD,0.1118,0.0515,0.0491,0.0673,ppb,0.083,0.81,VERIFIED,same,ZA knot removed and I0(t) re-interpolated
component_rt,robustSD,0.0722,0.0397,0.0150,0.0296,ppb,0.083,0.36,VERIFIED,same,"same-time R knot removed; comes from the same ZA block as I0"
component_etalon_f,robustSD,0.0215,0.0099,0.0284,0.0295,ppb,0.083,0.36,VERIFIED,same,operational fixed f 0.12 -> that scan's detected f
scanwise_sum_of_three,robustSD,0.1984,0.0812,0.0657,0.1096,ppb,0.083,1.32,VERIFIED,same,"sum per scan then scale. Exceeds the triple => the etalon partially ABSORBS the alpha perturbations (free sin/cos linear columns)."
quadrature_of_three_DO_NOT_USE,robustSD,0.1348,0.0658,0.0587,0.0792,ppb,0.083,0.95,INVALID_METHOD,same,"understates the triple by 1.25x. Robust scales are NOT additive in quadrature for heavy-tailed responses (|response| max/median 13-78x) even when the terms are uncorrelated."
additivity_residual_frac,median_abs_ratio,0.119,0.112,0.415,,fraction,,,VERIFIED,same,"|triple - scanwise_sum| / |triple|. i0 and rt alone are additive to 0.8-2.2 %; adding the etalon breaks it. Model-space and alpha-space perturbations do not add."
channel_response_correlation,pearson_r,,0.422,0.422,,,,,VERIFIED,same,"ANs vs PNs triple response. Shared ZA block schedule verified (157 vs 157 blocks, max time difference 0.0 s). Cancellation in SigmaANs is only -3 % because the dominant term is photon noise on different detector regions."
split_half_knot_noise,robustSD_pct,0.02391,0.01122,0.02073,,rel_channel_NO2,,,VERIFIED,diagnostics/i0_interp_2026-09/split_half_*.csv,"even/odd half-block I0, NO extrapolation. ppb: cold 0.0547, ANs 0.0257, PNs 0.0475."
split_half_over_LOO_ratio,ratio,0.61,0.49,0.95,,ratio,,,VERIFIED,same,"MEASURED replacement for the assumed x0.5-0.7. PNs needs NO correction (LOO = knot noise); ANs and cold do. Matches the gap-scan exponents (PNs 0.55 flat, ANs 0.92-0.99 steep)."
tp_time_interp,robustSD,0.0004,0.0003,0.0006,,rel_channel_NO2,,,VERIFIED,diagnostics/i0_interp_2026-09/i0_loo_*_op.csv,negligible (0.06-0.11 x reported 1sigma)
ils_mismatch,measured_offset,0.0200,0.0010,0.0006,,nm,,,VERIFIED,per-ROI sigma_sweep,"production ref effective ILS vs Hg FWHM at window centre; synthetic sensitivity <1e-4 %. Kernel is sampled on integer pixels so <~0.25 px cannot change it: cold 0.41 px IS represented, roi 0.01-0.02 px is not."
wavelength_calibration_drift,,-11.0,,,,pixel,,,UNQUANTIFIED,diagnostics/wlcal_drift_2026-09/wlcal_drift.csv,"cold Hg lamp 05-06 -> 05-23 only; hot has NO in-campaign Hg measurement."
etalon_amplitude_1pct_ASSUMED,,,,,,rel_channel_NO2,,,DELETED,diagnostics/provenance_from_science_2026-09/,"not an independent term: with f correct, amplitude 10 % gives 6e-16. Superseded by component_etalon_f."
rt_step_2026-06-05_ch2,measured_event,,,0.18,,rel_omr_d,,,NEEDS_MANUAL_BREAK,docs/Augur_오차예산_1단계_재실행_2026-09-20.md,"ROI2 bandpass filter removed and refitted (field log 6.5). +18 % step in CH2 only. step_guard misses it (ramped over a day vs 15 % knot-to-knot threshold)."
cold_low_light_za_blocks,measured_event,13/164,,,,blocks,,,NEEDS_FLAG,diagnostics/i0_interp_2026-09/README.md,"2026-06-15..16, ZA block mean 26000 -> 425-2500 counts, used as I0 knots. cold component_i0 above does NOT exclude them (round-3/4 value 2.96 % did; unfiltered is 4.56 %)."
acceptance_gate,,,,,0.083,ppb,,,MEASURED,merged xlsx sheet Data,"hourly adjacent |d| median 0.0793 ppb, n=14405; reconstructed-product variant 0.0644 ppb is tighter. Same median-based scale as the budget rows."
