term,nature,cold,hot_ANs,hot_PNs,unit,reported_1sig,status,source,note
i0_time_interp,random_sign_1h_correlated,0.0296,0.0243,0.0224,rel_channel_NO2_robustSD,0.0055,MEASURED,diagnostics/i0_interp_2026-09/i0_loo_*_op.csv,"operational fitset 09-17; f fixed; step_limit 3.0; 7 days; n=124..155; LOO upper bound, operational ~x0.5-0.7; cold excludes low-light ZA knots"
i0_time_interp_scale_only,random_sign_1h_correlated,0.0035,0.0025,0.0020,rel_channel_NO2_robustSD,0.0055,MEASURED,same,invisible to every fit diagnostic (polynomial absorbs it)
tp_time_interp,random_sign,0.0004,0.0003,0.0006,rel_channel_NO2_robustSD,0.0055,MEASURED,same,negligible (0.06-0.11x reported)
rt_time_interp_gap2h,random_sign,0.0284,0.0205,0.0087,rel_channel_NO2_robustSD,0.0055,MEASURED,diagnostics/i0_interp_2026-09/rt_loo_*_op.csv,"operational R npz; leave-N-out; 2h effective gap = upper bound for operational 1h"
rt_time_interp_extrap1h,random_sign,0.0090,0.0165,0.0077,rel_channel_NO2_robustSD,0.0055,EXTRAPOLATED,same,"power-law exponent +1.28 / +0.21 / +0.20 -> noise-limited, not curvature-limited"
rt_time_interp_longgap_cold,per_scan_flag_needed,0.17-0.40,,,rel_channel_NO2_robustSD,0.0055,MEASURED,same,"cold only: effective gap 7-17h = 0.39-0.92 ppb = 5-11x gate; 1.4% of cold R gaps exceed 4h; needs per-scan flag not an averaged uncertainty"
etalon_frequency_misspec,systematic_per_run,0.0120,-0.0061,-0.0094,rel_channel_NO2_signed,0.0055,MEASURED_bak_fitset,diagnostics/etalon_freq_2026-09/etalon_f_*.csv,"largely cancels between hot channels (ch-diff +0.33pp = ~5% of SigmaANs); operational-window modal f: ANs 0.1594 (76% occupancy) PNs 0.1368 (18%) cold 0.1779 (23%)"
cold_low_light_za_blocks,data_quality,,,,counts,,NEW_UNQUANTIFIED,diagnostics/i0_interp_2026-09/README.md,"2026-06-15..16: 13/164 cold ZA blocks collapsed 26000 -> 425-2500 counts and were used as I0 knots; LOO eps up to 2400%; low_light flag exists for scans but not for I0 knot selection"
wavelength_calibration_drift,unknown,-11.0,,,pixel,,UNQUANTIFIED,diagnostics/wlcal_drift_2026-09/wlcal_drift.csv,"cold Hg lamp 2026-05-06 -> 05-23 only; hot has NO in-campaign Hg measurement"
channel_to_roi_mapping,unsettled_configuration,,,,,,OPEN_HARDWARE,docs/Augur_오차예산_1단계_재실행_2026-09-20.md,"NOT a bug: alpha and operational 09-17 fitset agree (ch1->roi2, ch2->roi1). Which ROI is physically ANs was never established experimentally."
unmodelled_etalon_amplitude_1pct,,,0.0490,0.0490,rel_channel_NO2,0.0055,UNVERIFIED,diagnostics/provenance_from_science_2026-09/varpro_synth_results.csv,"noise-free synthetic; perturbation size (1% amplitude) assumed, not measured"
ils,,,,,rel_channel_NO2,0.0055,UNVERIFIED,diagnostics/provenance_from_science_2026-09/varpro_synth_results.csv,"noise-free synthetic; perturbation size (0.048/0.144 nm) assumed, not measured"
rt_time_interp_OLD_3.30pct,,,0.0330,0.0330,rel_channel_NO2,0.0055,INVALIDATED,diagnostics/provenance_from_science_2026-09/rt_sensitivity_table.csv,"computed from R_PNs/R_ANs.npz = 3 knots over 0.1 day; operational files have 1261/667 knots at 1.00h. Superseded by rt_time_interp_* rows."
acceptance_gate_SigmaANs,,0.083,,,ppb,,MEASURED,merged xlsx CAESAR_O3_ANs_merged_data_20260831_v4 sheet Data,"hourly adjacent |d| median 0.0793 ppb over n=14405 5-min rows; per-channel independent term ceiling 0.059 ppb = 2.6% of channel NO2"
